Number,Name,Country,Region,Type,ActivityEvidence,LastKnownEruption,Latitude,Longitude,Elevation(Meters),DominantRockType,TectonicSetting
358023,Hornopiren,Chile,South America,Stratovolcano,Eruption Dated,340,-41.874,-72.431,1572,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300022,Diky Greben,Russia,Kamchatka and Mainland Asia,Lava dome,Eruption Dated,350,51.452,156.978,1040,Dacite,Subduction Zone / Continental Crust (>25 km)
305050,Longgang Group,China,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,350,42.33,126.5,1000,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
300121,Veer,Russia,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,390,53.75,158.45,520,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
383040,Gran Canaria,Spain,Atlantic Ocean,Fissure vent,Eruption Dated,40,28,-15.58,1950,Trachybasalt / Tephrite Basanite,Intraplate / Intermediate Crust (15-25 km)
241010,Kaikohe-Bay of Islands,New Zealand,New Zealand to Fiji,Volcanic field,Eruption Dated,400,-35.3,173.9,388,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
341080,Chichinautzin,Mexico,México and Central America,Volcanic field,Eruption Dated,400,19.08,-99.13,3930,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
322070,Three Sisters,United States,Canada and Western USA,Complex,Eruption Dated,440,44.133,-121.767,3159,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
322060,Belknap,United States,Canada and Western USA,Shield,Eruption Dated,480,44.285,-121.841,2095,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
214010,Elbrus,Russia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,50,43.351,42.442,5642,Dacite,Intraplate / Continental Crust (>25 km)
231090,"Arhab, Harra of",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Observed,500,15.63,44.08,3100,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
283122,Harunasan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,550,36.477,138.851,1449,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352071,Chimborazo,Ecuador,South America,Stratovolcano,Eruption Dated,550,-1.464,-78.815,6310,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
357122,Lanin,Chile-Argentina,South America,Stratovolcano,Eruption Dated,560,-39.637,-71.502,3776,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
231020,"Uwayrid, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Dated,640,27.08,37.25,1920,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
281032,Tatun Group,Taiwan,"Japan, Taiwan, Marianas",Lava dome,Eruption Dated,648,25.17,121.52,1120,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
231060,"Khaybar, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,650,25,39.92,2093,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
283002,Sanbesan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,650,35.139,132.621,1126,Dacite,Subduction Zone / Continental Crust (>25 km)
352003,Cuicocha,Ecuador,South America,Caldera,Eruption Dated,650,0.308,-78.364,3246,Dacite,Subduction Zone / Continental Crust (>25 km)
322030,Blue Lake Crater,United States,Canada and Western USA,Maar,Eruption Dated,680,44.411,-121.774,1230,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
322110,Newberry,United States,Canada and Western USA,Shield,Eruption Dated,690,43.722,-121.229,2434,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
322040,Sand Mountain Field,United States,Canada and Western USA,Pyroclastic cone,Eruption Dated,70,44.38,-121.93,1664,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
355130,"Ojos del Salado, Nevados",Chile-Argentina,South America,Stratovolcano,Eruption Dated,750,-27.109,-68.541,6879,Dacite,Subduction Zone / Continental Crust (>25 km)
283200,Naruko,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,837,38.729,140.734,470,Rhyolite,Subduction Zone / Continental Crust (>25 km)
284030,Kozushima,Japan,"Japan, Taiwan, Marianas",Lava dome,Eruption Observed,838,34.219,139.153,572,Rhyolite,Subduction Zone / Oceanic Crust (< 15 km)
315030,Churchill,United States,Alaska,Stratovolcano,Eruption Dated,847,61.38,-141.75,5005,Dacite,Intraplate / Continental Crust (>25 km)
225060,Bayuda Volcanic Field,Sudan,Africa and Red Sea,Pyroclastic cone,Eruption Dated,850,18.33,32.75,670,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
300551,Kinenin,Russia,Kamchatka and Mainland Asia,Maar,Eruption Dated,850,57.35,160.97,583,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
282130,Yufu-Tsurumi,Japan,"Japan, Taiwan, Marianas",Lava dome,Eruption Observed,867,33.282,131.39,1584,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
284180,Alamagan,United States,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,870,17.6,145.83,744,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
282070,Ata,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,885,31.22,130.57,924,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
284020,Niijima,Japan,"Japan, Taiwan, Marianas",Lava dome,Eruption Observed,886,34.397,139.27,432,Rhyolite,Subduction Zone / Oceanic Crust (< 15 km)
283271,Towada,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Observed,915,40.51,140.88,1011,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
360100,"Trois Pitons, Morne",Dominica,West Indies,Complex,Eruption Dated,920,15.37,-61.33,1387,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
252100,Hargy,Papua New Guinea,Melanesia and Australia,Stratovolcano,Eruption Dated,950,-5.33,151.1,1148,Dacite,Subduction Zone / Continental Crust (>25 km)
300220,Komarov,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,950,55.033,160.725,2065,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
320060,Edziza,Canada,Canada and Western USA,Stratovolcano,Eruption Dated,950,57.72,-130.63,2786,Trachyte / Trachydacite,Intraplate / Continental Crust (>25 km)
321040,Adams,United States,Canada and Western USA,Stratovolcano,Eruption Dated,950,46.206,-121.49,3742,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
322020,Jefferson,United States,Canada and Western USA,Stratovolcano,Eruption Dated,950,44.674,-121.8,3199,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
371080,Langjokull,Iceland,Iceland and Arctic Ocean,Subglacial,Eruption Dated,950,64.85,-19.7,1100,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
370030,Ljosufjoll,Iceland,Iceland and Arctic Ocean,Fissure vent,Eruption Dated,960,64.9,-22.483,1063,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
